-1.746263653039932251e-01,-9.116583317518234253e-02,1.039862707257270813e-01,1.580129861831665039e-01,5.171389505267143250e-02,4.899362102150917053e-02,5.737791955471038818e-02,7.577554136514663696e-02,4.433957859873771667e-02,7.577554136514663696e-02,5.737791955471038818e-02,4.899362102150917053e-02,5.171389505267143250e-02,1.580129861831665039e-01,1.039862707257270813e-01,-9.116583317518234253e-02,-1.746263653039932251e-01
6.533838063478469849e-02,-2.256109714508056641e-01,-1.602419018745422363e-01,-3.308830410242080688e-02,7.683582138270139694e-03,7.019732147455215454e-03,6.406567245721817017e-02,4.418862611055374146e-02,4.767325147986412048e-02,4.418862611055374146e-02,6.406567245721817017e-02,7.019732147455215454e-03,7.683582138270139694e-03,-3.308830410242080688e-02,-1.602419018745422363e-01,-2.256109714508056641e-01,6.533838063478469849e-02
-3.248978871852159500e-03
-3.626719489693641663e-02,1.689974069595336914e-01,1.174867078661918640e-01,5.321428179740905762e-02,7.893225550651550293e-02,1.220996081829071045e-01,9.199198335409164429e-02,8.740946650505065918e-02,7.530152797698974609e-02,8.740946650505065918e-02,9.199198335409164429e-02,1.220996081829071045e-01,7.893225550651550293e-02,5.321428179740905762e-02,1.174867078661918640e-01,1.689974069595336914e-01,-3.626719489693641663e-02
-1.466606259346008301e-01,-1.495370734483003616e-02,9.160183370113372803e-02,3.890681639313697815e-02,-1.491500716656446457e-02,2.153156884014606476e-02,6.854631006717681885e-02,4.017344862222671509e-02,3.152950480580329895e-02,4.017344862222671509e-02,6.854631006717681885e-02,2.153156884014606476e-02,-1.491500716656446457e-02,3.890681639313697815e-02,9.160183370113372803e-02,-1.495370734483003616e-02,-1.466606259346008301e-01
-3.769710194319486618e-03
-4.633587971329689026e-02,1.829043030738830566e-01,1.510914564132690430e-01,7.467019557952880859e-02,9.924373030662536621e-02,1.162126287817955017e-01,9.085655957460403442e-02,6.071922928094863892e-02,6.760092824697494507e-02,6.071922928094863892e-02,9.085655957460403442e-02,1.162126287817955017e-01,9.924373030662536621e-02,7.467019557952880859e-02,1.510914564132690430e-01,1.829043030738830566e-01,-4.633587971329689026e-02
-1.018537357449531555e-01,-7.211037725210189819e-02,2.821487747132778168e-02,-1.422560960054397583e-02,-2.536478452384471893e-02,2.922259643673896790e-02,1.042991057038307190e-01,5.861125141382217407e-02,4.323353245854377747e-02,5.861125141382217407e-02,1.042991057038307190e-01,2.922259643673896790e-02,-2.536478452384471893e-02,-1.422560960054397583e-02,2.821487747132778168e-02,-7.211037725210189819e-02,-1.018537357449531555e-01
-4.315481521189212799e-03
-2.876064553856849670e-02,1.986170858144760132e-01,1.088839173316955566e-01,5.570957064628601074e-02,1.119403243064880371e-01,1.230495274066925049e-01,6.833879649639129639e-02,6.689415872097015381e-02,8.813328295946121216e-02,6.689415872097015381e-02,6.833879649639129639e-02,1.230495274066925049e-01,1.119403243064880371e-01,5.570957064628601074e-02,1.088839173316955566e-01,1.986170858144760132e-01,-2.876064553856849670e-02
-8.961853384971618652e-02,-1.150808185338973999e-01,-7.058956660330295563e-03,5.840009544044733047e-03,-6.464484613388776779e-03,1.117613725364208221e-02,5.906669422984123230e-02,6.450101733207702637e-02,6.974425911903381348e-02,6.450101733207702637e-02,5.906669422984123230e-02,1.117613725364208221e-02,-6.464484613388776779e-03,5.840009544044733047e-03,-7.058956660330295563e-03,-1.150808185338973999e-01,-8.961853384971618652e-02
-4.885198082774877548e-03
-1.287383586168289185e-01,1.803964674472808838e-01,1.742280125617980957e-01,7.497591525316238403e-02,3.995727747678756714e-02,1.133142411708831787e-01,9.951963275671005249e-02,6.992784142494201660e-02,4.248708486557006836e-02,6.992784142494201660e-02,9.951963275671005249e-02,1.133142411708831787e-01,3.995727747678756714e-02,7.497591525316238403e-02,1.742280125617980957e-01,1.803964674472808838e-01,-1.287383586168289185e-01
-1.236608549952507019e-01,-1.049733757972717285e-01,2.670494653284549713e-02,1.689018122851848602e-02,-3.683384880423545837e-02,2.489246800541877747e-02,8.421681821346282959e-02,5.751371756196022034e-02,2.817268297076225281e-02,5.751371756196022034e-02,8.421681821346282959e-02,2.489246800541877747e-02,-3.683384880423545837e-02,1.689018122851848602e-02,2.670494653284549713e-02,-1.049733757972717285e-01,-1.236608549952507019e-01
-5.477896425873041153e-03
-8.221331983804702759e-02,1.661982685327529907e-01,1.258102804422378540e-01,6.763118505477905273e-02,1.093251630663871765e-01,1.087530106306076050e-01,6.584464013576507568e-02,4.277483746409416199e-02,7.941893488168716431e-02,4.277483746409416199e-02,6.584464013576507568e-02,1.087530106306076050e-01,1.093251630663871765e-01,6.763118505477905273e-02,1.258102804422378540e-01,1.661982685327529907e-01,-8.221331983804702759e-02
-1.054472327232360840e-01,-1.919707953929901123e-01,-8.508740365505218506e-02,2.427526190876960754e-02,-3.550626803189516068e-03,5.158634856343269348e-02,8.307763934135437012e-02,6.871777027845382690e-02,2.457366697490215302e-02,6.871777027845382690e-02,8.307763934135437012e-02,5.158634856343269348e-02,-3.550626803189516068e-03,2.427526190876960754e-02,-8.508740365505218506e-02,-1.919707953929901123e-01,-1.054472327232360840e-01
-6.092720665037631989e-03
-1.232137158513069153e-01,8.086075633764266968e-02,1.313852220773696899e-01,1.060288175940513611e-01,1.048332080245018005e-01,6.816528737545013428e-02,2.751072868704795837e-02,6.410408765077590942e-02,1.119174510240554810e-01,6.410408765077590942e-02,2.751072868704795837e-02,6.816528737545013428e-02,1.048332080245018005e-01,1.060288175940513611e-01,1.313852220773696899e-01,8.086075633764266968e-02,-1.232137158513069153e-01
-7.899915426969528198e-02,-2.392283827066421509e-01,-8.211985975503921509e-02,3.390096127986907959e-02,2.314951643347740173e-02,1.828643493354320526e-02,8.743552863597869873e-02,5.061570554971694946e-02,4.221554845571517944e-02,5.061570554971694946e-02,8.743552863597869873e-02,1.828643493354320526e-02,2.314951643347740173e-02,3.390096127986907959e-02,-8.211985975503921509e-02,-2.392283827066421509e-01,-7.899915426969528198e-02
-6.728903856128454208e-03
-1.389694809913635254e-01,6.283189356327056885e-02,1.343478858470916748e-01,9.582321345806121826e-02,4.772692173719406128e-02,1.039119586348533630e-01,1.054362058639526367e-01,5.253643542528152466e-02,2.765049412846565247e-02,5.253643542528152466e-02,1.054362058639526367e-01,1.039119586348533630e-01,4.772692173719406128e-02,9.582321345806121826e-02,1.343478858470916748e-01,6.283189356327056885e-02,-1.389694809913635254e-01
-5.406234413385391235e-02,-2.325090765953063965e-01,-1.322641372680664062e-01,3.204711899161338806e-02,-5.408974175225012004e-06,3.523035719990730286e-02,7.512900233268737793e-02,8.889721333980560303e-02,4.156990721821784973e-02,8.889721333980560303e-02,7.512900233268737793e-02,3.523035719990730286e-02,-5.408974175225012004e-06,3.204711899161338806e-02,-1.322641372680664062e-01,-2.325090765953063965e-01,-5.406234413385391235e-02
-7.385753560811281204e-03
-1.260291934013366699e-01,8.631038479506969452e-03,1.120906025171279907e-01,1.060186624526977539e-01,7.982397079467773438e-02,7.219468057155609131e-02,6.492352485656738281e-02,6.562440842390060425e-02,7.450858503580093384e-02,6.562440842390060425e-02,6.492352485656738281e-02,7.219468057155609131e-02,7.982397079467773438e-02,1.060186624526977539e-01,1.120906025171279907e-01,8.631038479506969452e-03,-1.260291934013366699e-01
-1.756721176207065582e-02,-2.523661851882934570e-01,-1.035463735461235046e-01,1.335800625383853912e-02,1.403406931785866618e-04,-2.276244107633829117e-03,9.749244898557662964e-02,6.847470998764038086e-02,5.421120673418045044e-02,6.847470998764038086e-02,9.749244898557662964e-02,-2.276244107633829117e-03,1.403406931785866618e-04,1.335800625383853912e-02,-1.035463735461235046e-01,-2.523661851882934570e-01,-1.756721176207065582e-02
-8.062640205025672913e-03
-1.124344617128372192e-01,-6.896182894706726074e-02,4.842786118388175964e-02,1.095281019806861877e-01,1.328380703926086426e-01,8.268485963344573975e-02,4.256314039230346680e-02,5.408268794417381287e-02,9.241486340761184692e-02,5.408268794417381287e-02,4.256314039230346680e-02,8.268485963344573975e-02,1.328380703926086426e-01,1.095281019806861877e-01,4.842786118388175964e-02,-6.896182894706726074e-02,-1.124344617128372192e-01
1.088848803192377090e-02,-2.360107600688934326e-01,-1.571162641048431396e-01,1.947958022356033325e-02,-1.502732839435338974e-02,2.221645973622798920e-02,6.705471128225326538e-02,7.576915621757507324e-02,2.209588140249252319e-02,7.576915621757507324e-02,6.705471128225326538e-02,2.221645973622798920e-02,-1.502732839435338974e-02,1.947958022356033325e-02,-1.571162641048431396e-01,-2.360107600688934326e-01,1.088848803192377090e-02
-8.758988231420516968e-03
-1.653248816728591919e-01,-6.905414164066314697e-02,7.655126601457595825e-02,1.355773657560348511e-01,6.282091885805130005e-02,8.570265769958496094e-02,7.582633197307586670e-02,7.424405217170715332e-02,3.819280490279197693e-02,7.424405217170715332e-02,7.582633197307586670e-02,8.570265769958496094e-02,6.282091885805130005e-02,1.355773657560348511e-01,7.655126601457595825e-02,-6.905414164066314697e-02,-1.653248816728591919e-01
2.952512912452220917e-02,-2.214529812335968018e-01,-1.280328035354614258e-01,-1.466101780533790588e-02,-1.169304549694061279e-02,-4.020543769001960754e-03,6.380160152912139893e-02,4.632316902279853821e-02,3.873498365283012390e-02,4.632316902279853821e-02,6.380160152912139893e-02,-4.020543769001960754e-03,-1.169304549694061279e-02,-1.466101780533790588e-02,-1.280328035354614258e-01,-2.214529812335968018e-01,2.952512912452220917e-02
-9.474270045757293701e-03
-1.410480290651321411e-01,-1.487600654363632202e-01,1.065729632973670959e-01,1.553135365247726440e-01,8.480934053659439087e-02,3.511798381805419922e-02,9.580107778310775757e-02,7.079140096902847290e-02,6.758406758308410645e-02,7.079140096902847290e-02,9.580107778310775757e-02,3.511798381805419922e-02,8.480934053659439087e-02,1.553135365247726440e-01,1.065729632973670959e-01,-1.487600654363632202e-01,-1.410480290651321411e-01
1.115062162280082703e-01,-2.081491649150848389e-01,-1.918859928846359253e-01,-5.648405849933624268e-02,3.853142261505126953e-02,2.224692702293395996e-02,4.991033300757408142e-02,5.408874526619911194e-02,7.927825301885604858e-02,5.408874526619911194e-02,4.991033300757408142e-02,2.224692702293395996e-02,3.853142261505126953e-02,-5.648405849933624268e-02,-1.918859928846359253e-01,-2.081491649150848389e-01,1.115062162280082703e-01
-1.020799670368432999e-02
-1.369855850934982300e-01,-1.984085738658905029e-01,5.113100260496139526e-02,1.629176288843154907e-01,9.231100231409072876e-02,3.309427946805953979e-02,7.054086774587631226e-02,6.053693592548370361e-02,5.265774577856063843e-02,6.053693592548370361e-02,7.054086774587631226e-02,3.309427946805953979e-02,9.231100231409072876e-02,1.629176288843154907e-01,5.113100260496139526e-02,-1.984085738658905029e-01,-1.369855850934982300e-01
9.335497766733169556e-02,-1.523263603448867798e-01,-2.004717290401458740e-01,-6.013202667236328125e-02,-1.295049558393657207e-03,6.395261734724044800e-02,6.001605466008186340e-02,7.449186593294143677e-02,3.966188803315162659e-02,7.449186593294143677e-02,6.001605466008186340e-02,6.395261734724044800e-02,-1.295049558393657207e-03,-6.013202667236328125e-02,-2.004717290401458740e-01,-1.523263603448867798e-01,9.335497766733169556e-02
-1.095971744507551193e-02
-1.279522627592086792e-01,-1.723390817642211914e-01,-1.485465466976165771e-02,1.434293389320373535e-01,8.540091663599014282e-02,1.028813272714614868e-01,9.580032527446746826e-02,7.405620068311691284e-02,1.948475465178489685e-02,7.405620068311691284e-02,9.580032527446746826e-02,1.028813272714614868e-01,8.540091663599014282e-02,1.434293389320373535e-01,-1.485465466976165771e-02,-1.723390817642211914e-01,-1.279522627592086792e-01
1.670298874378204346e-01,-1.477416604757308960e-01,-2.354662865400314331e-01,-7.906452566385269165e-02,5.360566452145576477e-02,2.048677578568458557e-02,-1.243964117020368576e-02,7.494087517261505127e-02,1.214323341846466064e-01,7.494087517261505127e-02,-1.243964117020368576e-02,2.048677578568458557e-02,5.360566452145576477e-02,-7.906452566385269165e-02,-2.354662865400314331e-01,-1.477416604757308960e-01,1.670298874378204346e-01
-1.172901038080453873e-02
-7.626686990261077881e-02,-2.088002264499664307e-01,-3.486881032586097717e-02,1.505706161260604858e-01,1.232121735811233521e-01,8.258152753114700317e-02,7.613593339920043945e-02,7.281535863876342773e-02,5.768188461661338806e-02,7.281535863876342773e-02,7.613593339920043945e-02,8.258152753114700317e-02,1.232121735811233521e-01,1.505706161260604858e-01,-3.486881032586097717e-02,-2.088002264499664307e-01,-7.626686990261077881e-02
