9.339919686317443848e-02,1.167378798127174377e-01,7.087498158216476440e-02,8.411752432584762573e-02,5.171896889805793762e-02,1.647026836872100830e-02,5.171896889805793762e-02,8.411752432584762573e-02,7.087498158216476440e-02,1.167378798127174377e-01,9.339919686317443848e-02
-1.820253729820251465e-01,7.842867076396942139e-02,3.384447842836380005e-02,-4.855539277195930481e-02,7.754217088222503662e-02,1.887798905372619629e-01,7.754217088222503662e-02,-4.855539277195930481e-02,3.384447842836380005e-02,7.842867076396942139e-02,-1.820253729820251465e-01
-1.570782065391540527e-02
1.723971068859100342e-01,1.011903733015060425e-01,-5.780858173966407776e-02,5.776915699243545532e-02,1.269320100545883179e-01,1.114439666271209717e-01,1.269320100545883179e-01,5.776915699243545532e-02,-5.780858173966407776e-02,1.011903733015060425e-01,1.723971068859100342e-01
-1.006892621517181396e-01,1.082305312156677246e-01,1.230858117341995239e-01,4.231033474206924438e-02,3.977569565176963806e-02,5.025060474872589111e-02,3.977569565176963806e-02,4.231033474206924438e-02,1.230858117341995239e-01,1.082305312156677246e-01,-1.006892621517181396e-01
-2.524691820144653320e-02
1.801853179931640625e-01,2.819498628377914429e-02,4.702781513333320618e-02,1.220821663737297058e-01,2.274327352643013000e-02,-1.819130592048168182e-02,2.274327352643013000e-02,1.220821663737297058e-01,4.702781513333320618e-02,2.819498628377914429e-02,1.801853179931640625e-01
-2.758884988725185394e-02,1.569694280624389648e-01,4.033140465617179871e-02,8.192523568868637085e-02,1.088957935571670532e-01,1.005390733480453491e-01,1.088957935571670532e-01,8.192523568868637085e-02,4.033140465617179871e-02,1.569694280624389648e-01,-2.758884988725185394e-02
-3.611420467495918274e-02
3.019618988037109375e-02,2.376087456941604614e-01,9.513347595930099487e-02,8.758723735809326172e-02,9.470415115356445312e-02,9.993755817413330078e-02,9.470415115356445312e-02,8.758723735809326172e-02,9.513347595930099487e-02,2.376087456941604614e-01,3.019618988037109375e-02
-1.910097450017929077e-01,-4.920061305165290833e-02,5.795697867870330811e-02,3.242756426334381104e-02,8.565001934766769409e-02,1.098129153251647949e-01,8.565001934766769409e-02,3.242756426334381104e-02,5.795697867870330811e-02,-4.920061305165290833e-02,-1.910097450017929077e-01
-4.816866666078567505e-02
7.613407075405120850e-02,2.279029637575149536e-01,6.406590342521667480e-02,1.807250380516052246e-01,1.972399055957794189e-01,1.233225837349891663e-01,1.972399055957794189e-01,1.807250380516052246e-01,6.406590342521667480e-02,2.279029637575149536e-01,7.613407075405120850e-02
-1.109685748815536499e-01,6.720697879791259766e-02,5.430635809898376465e-02,-3.173834411427378654e-03,6.056943535804748535e-02,8.138041198253631592e-02,6.056943535804748535e-02,-3.173834411427378654e-03,5.430635809898376465e-02,6.720697879791259766e-02,-1.109685748815536499e-01
-6.130550801753997803e-02
-3.281799703836441040e-02,2.151536196470260620e-01,1.039394587278366089e-01,1.627298593521118164e-01,1.748247817158699036e-02,-5.546216852962970734e-03,1.748247817158699036e-02,1.627298593521118164e-01,1.039394587278366089e-01,2.151536196470260620e-01,-3.281799703836441040e-02
-3.153668045997619629e-01,-4.296702146530151367e-02,1.255759447813034058e-01,9.278687834739685059e-02,-5.144491326063871384e-03,7.900901138782501221e-02,-5.144491326063871384e-03,9.278687834739685059e-02,1.255759447813034058e-01,-4.296702146530151367e-02,-3.153668045997619629e-01
-7.544320076704025269e-02
-9.588257223367691040e-02,2.461735457181930542e-01,1.402575820684432983e-01,7.410086691379547119e-03,1.304681301116943359e-01,1.888013780117034912e-01,1.304681301116943359e-01,7.410086691379547119e-03,1.402575820684432983e-01,2.461735457181930542e-01,-9.588257223367691040e-02
-2.418008148670196533e-01,-8.655776828527450562e-02,3.674855083227157593e-02,-9.275720268487930298e-02,1.042227819561958313e-01,2.215368300676345825e-01,1.042227819561958313e-01,-9.275720268487930298e-02,3.674855083227157593e-02,-8.655776828527450562e-02,-2.418008148670196533e-01
-9.051609784364700317e-02
-1.925418823957443237e-01,9.528554230928421021e-02,1.216663271188735962e-01,2.052246630191802979e-01,1.015917360782623291e-01,2.399208769202232361e-02,1.015917360782623291e-01,2.052246630191802979e-01,1.216663271188735962e-01,9.528554230928421021e-02,-1.925418823957443237e-01
-3.242331147193908691e-01,-2.422699332237243652e-01,-6.202502641826868057e-03,6.094469502568244934e-02,8.148340880870819092e-02,2.019097506999969482e-01,8.148340880870819092e-02,6.094469502568244934e-02,-6.202502641826868057e-03,-2.422699332237243652e-01,-3.242331147193908691e-01
-1.064698770642280579e-01
-3.637036979198455811e-01,1.855763792991638184e-01,2.141612768173217773e-01,1.093650758266448975e-01,5.990551412105560303e-02,1.579998135566711426e-01,5.990551412105560303e-02,1.093650758266448975e-01,2.141612768173217773e-01,1.855763792991638184e-01,-3.637036979198455811e-01
-1.548804491758346558e-01,-3.377291560173034668e-01,2.820829488337039948e-02,7.602815330028533936e-02,1.395455151796340942e-01,1.371404677629470825e-01,1.395455151796340942e-01,7.602815330028533936e-02,2.820829488337039948e-02,-3.377291560173034668e-01,-1.548804491758346558e-01
-1.232586652040481567e-01
-3.602355122566223145e-01,-3.392508998513221741e-02,1.884285062551498413e-01,9.786536544561386108e-02,1.657325625419616699e-01,1.507188975811004639e-01,1.657325625419616699e-01,9.786536544561386108e-02,1.884285062551498413e-01,-3.392508998513221741e-02,-3.602355122566223145e-01
-6.445190310478210449e-02,-3.541638851165771484e-01,-3.643118962645530701e-02,6.802348792552947998e-02,1.557673960924148560e-01,1.710932850837707520e-01,1.557673960924148560e-01,6.802348792552947998e-02,-3.643118962645530701e-02,-3.541638851165771484e-01,-6.445190310478210449e-02
-1.408430486917495728e-01
-3.722731769084930420e-01,-2.790914289653301239e-02,2.849393486976623535e-01,1.985669285058975220e-01,1.884113401174545288e-01,1.450561434030532837e-01,1.884113401174545288e-01,1.985669285058975220e-01,2.849393486976623535e-01,-2.790914289653301239e-02,-3.722731769084930420e-01
-7.490930613130331039e-03,-3.244720995426177979e-01,-1.225194856524467468e-01,7.922284305095672607e-02,7.814674079418182373e-02,1.960420906543731689e-01,7.814674079418182373e-02,7.922284305095672607e-02,-1.225194856524467468e-01,-3.244720995426177979e-01,-7.490930613130331039e-03
-1.591886878013610840e-01
-4.214479029178619385e-01,-8.023457229137420654e-02,2.193442434072494507e-01,2.482565641403198242e-01,1.521696001291275024e-01,1.766036599874496460e-01,1.521696001291275024e-01,2.482565641403198242e-01,2.193442434072494507e-01,-8.023457229137420654e-02,-4.214479029178619385e-01
1.018602922558784485e-01,-2.546984255313873291e-01,-1.894960105419158936e-01,-6.512310355901718140e-02,5.834051221609115601e-02,2.569802403450012207e-01,5.834051221609115601e-02,-6.512310355901718140e-02,-1.894960105419158936e-01,-2.546984255313873291e-01,1.018602922558784485e-01
