1.808294951915740967e-01,8.576099574565887451e-02,-2.431518733501434326e-01,-3.805780410766601562e-02,1.872632950544357300e-01,2.121830582618713379e-01,1.389317065477371216e-01,1.240679174661636353e-01,1.389317065477371216e-01,2.121830582618713379e-01,1.872632950544357300e-01,-3.805780410766601562e-02,-2.431518733501434326e-01,8.576099574565887451e-02,1.808294951915740967e-01
-2.577672600746154785e-01,2.905463278293609619e-01,-2.825917908921837807e-03,-1.951278597116470337e-01,-1.732724756002426147e-01,8.383003622293472290e-02,7.810961455106735229e-02,1.576382219791412354e-01,7.810961455106735229e-02,8.383003622293472290e-02,-1.732724756002426147e-01,-1.951278597116470337e-01,-2.825917908921837807e-03,2.905463278293609619e-01,-2.577672600746154785e-01
-3.271071612834930420e-01
-1.240833774209022522e-01,-1.558562964200973511e-01,7.582776248455047607e-02,1.147045046091079712e-01,1.509443372488021851e-01,1.526584178209304810e-01,1.667759269475936890e-01,1.060704439878463745e-01,1.667759269475936890e-01,1.526584178209304810e-01,1.509443372488021851e-01,1.147045046091079712e-01,7.582776248455047607e-02,-1.558562964200973511e-01,-1.240833774209022522e-01
2.816912718117237091e-02,-1.902508735656738281e-01,-2.019067257642745972e-01,-2.044660039246082306e-02,2.809810917824506760e-03,3.855318948626518250e-02,9.131053090095520020e-02,1.661669909954071045e-01,9.131053090095520020e-02,3.855318948626518250e-02,2.809810917824506760e-03,-2.044660039246082306e-02,-2.019067257642745972e-01,-1.902508735656738281e-01,2.816912718117237091e-02
-4.067060351371765137e-01
-1.054131686687469482e-01,-2.321551740169525146e-01,-2.139481157064437866e-02,1.757366061210632324e-01,1.609144210815429688e-01,1.410969048738479614e-01,1.351577639579772949e-01,1.449863314628601074e-01,1.351577639579772949e-01,1.410969048738479614e-01,1.609144210815429688e-01,1.757366061210632324e-01,-2.139481157064437866e-02,-2.321551740169525146e-01,-1.054131686687469482e-01
1.514248996973037720e-01,-1.307916194200515747e-01,-1.771866083145141602e-01,-8.644658327102661133e-02,3.125360980629920959e-02,7.042770273983478546e-03,1.257014423608779907e-01,1.460641622543334961e-01,1.257014423608779907e-01,7.042770273983478546e-03,3.125360980629920959e-02,-8.644658327102661133e-02,-1.771866083145141602e-01,-1.307916194200515747e-01,1.514248996973037720e-01
-4.918165504932403564e-01
2.751783654093742371e-02,-2.576379776000976562e-01,-6.457601487636566162e-02,1.503211557865142822e-01,1.919409632682800293e-01,1.220432147383689880e-01,1.532957851886749268e-01,1.384181380271911621e-01,1.532957851886749268e-01,1.220432147383689880e-01,1.919409632682800293e-01,1.503211557865142822e-01,-6.457601487636566162e-02,-2.576379776000976562e-01,2.751783654093742371e-02
1.508693099021911621e-01,4.313835501670837402e-02,-2.098476588726043701e-01,-1.077325791120529175e-01,-2.015769295394420624e-02,5.700108036398887634e-02,8.526451885700225830e-02,1.645873337984085083e-01,8.526451885700225830e-02,5.700108036398887634e-02,-2.015769295394420624e-02,-1.077325791120529175e-01,-2.098476588726043701e-01,4.313835501670837402e-02,1.508693099021911621e-01
-5.821056365966796875e-01
9.517027437686920166e-02,-1.554935276508331299e-01,-1.526420563459396362e-01,1.379669755697250366e-01,1.540878117084503174e-01,1.767918318510055542e-01,1.207084730267524719e-01,1.720700562000274658e-01,1.207084730267524719e-01,1.767918318510055542e-01,1.540878117084503174e-01,1.379669755697250366e-01,-1.526420563459396362e-01,-1.554935276508331299e-01,9.517027437686920166e-02
1.730141043663024902e-01,1.258142292499542236e-01,-1.595977395772933960e-01,-1.849259287118911743e-01,-2.661280520260334015e-02,4.770161211490631104e-02,1.145722121000289917e-01,1.374288052320480347e-01,1.145722121000289917e-01,4.770161211490631104e-02,-2.661280520260334015e-02,-1.849259287118911743e-01,-1.595977395772933960e-01,1.258142292499542236e-01,1.730141043663024902e-01
-6.772937774658203125e-01
2.539190948009490967e-01,-1.351968199014663696e-01,-1.784796565771102905e-01,3.972094878554344177e-02,2.205981016159057617e-01,1.752291619777679443e-01,1.436946094036102295e-01,1.048835292458534241e-01,1.436946094036102295e-01,1.752291619777679443e-01,2.205981016159057617e-01,3.972094878554344177e-02,-1.784796565771102905e-01,-1.351968199014663696e-01,2.539190948009490967e-01
1.125883609056472778e-01,1.748459488153457642e-01,-9.069836884737014771e-02,-2.456669062376022339e-01,-3.720463439822196960e-02,6.138960272073745728e-02,1.646542549133300781e-01,1.331642866134643555e-01,1.646542549133300781e-01,6.138960272073745728e-02,-3.720463439822196960e-02,-2.456669062376022339e-01,-9.069836884737014771e-02,1.748459488153457642e-01,1.125883609056472778e-01
-7.771421670913696289e-01
