-1.714001893997192383e-01,2.040843516588211060e-01,4.898070171475410461e-02,-8.150864392518997192e-03,9.295576065778732300e-02,-1.463077031075954437e-03,-8.635296672582626343e-02,-1.463077031075954437e-03,9.295576065778732300e-02,-8.150864392518997192e-03,4.898070171475410461e-02,2.040843516588211060e-01,-1.714001893997192383e-01
-1.469055116176605225e-01,-1.721955239772796631e-01,6.005103141069412231e-02,2.136349678039550781e-01,2.066492438316345215e-01,-4.088167846202850342e-02,-9.628783166408538818e-02,-4.088167846202850342e-02,2.066492438316345215e-01,2.136349678039550781e-01,6.005103141069412231e-02,-1.721955239772796631e-01,-1.469055116176605225e-01
-3.248978871852159500e-03
7.704292237758636475e-02,2.298620790243148804e-01,7.693817466497421265e-02,6.855092197656631470e-02,1.499843150377273560e-01,6.259535998106002808e-02,4.334612283855676651e-03,6.259535998106002808e-02,1.499843150377273560e-01,6.855092197656631470e-02,7.693817466497421265e-02,2.298620790243148804e-01,7.704292237758636475e-02
-1.260641217231750488e-01,1.405905187129974365e-01,1.218043714761734009e-01,2.226926572620868683e-02,-6.391329807229340076e-04,7.342422753572463989e-02,9.752401709556579590e-02,7.342422753572463989e-02,-6.391329807229340076e-04,2.226926572620868683e-02,1.218043714761734009e-01,1.405905187129974365e-01,-1.260641217231750488e-01
-3.769710194319486618e-03
1.083302125334739685e-01,1.736973822116851807e-01,1.262836903333663940e-02,-5.512724816799163818e-02,9.690929204225540161e-02,1.528408229351043701e-01,1.195515319705009460e-01,1.528408229351043701e-01,9.690929204225540161e-02,-5.512724816799163818e-02,1.262836903333663940e-02,1.736973822116851807e-01,1.083302125334739685e-01
-1.292012929916381836e-01,1.077235266566276550e-01,1.261054575443267822e-01,5.237601697444915771e-02,5.496159940958023071e-02,4.251234233379364014e-02,5.168001353740692139e-02,4.251234233379364014e-02,5.496159940958023071e-02,5.237601697444915771e-02,1.261054575443267822e-01,1.077235266566276550e-01,-1.292012929916381836e-01
-4.315481521189212799e-03
1.010148301720619202e-01,1.615919172763824463e-01,3.899837285280227661e-02,6.492953002452850342e-02,1.500153392553329468e-01,8.838800340890884399e-02,3.687199577689170837e-02,8.838800340890884399e-02,1.500153392553329468e-01,6.492953002452850342e-02,3.899837285280227661e-02,1.615919172763824463e-01,1.010148301720619202e-01
-9.014333784580230713e-02,1.746888607740402222e-01,9.084449708461761475e-02,1.290993113070726395e-02,5.549170449376106262e-02,8.640297502279281616e-02,9.327498078346252441e-02,8.640297502279281616e-02,5.549170449376106262e-02,1.290993113070726395e-02,9.084449708461761475e-02,1.746888607740402222e-01,-9.014333784580230713e-02
-4.885198082774877548e-03
1.521450877189636230e-01,2.937482595443725586e-01,7.282165437936782837e-02,3.572966158390045166e-02,9.297426044940948486e-02,4.672089964151382446e-02,-3.524329047650098801e-03,4.672089964151382446e-02,9.297426044940948486e-02,3.572966158390045166e-02,7.282165437936782837e-02,2.937482595443725586e-01,1.521450877189636230e-01
-1.528046727180480957e-01,1.581945270299911499e-01,6.299080699682235718e-02,2.366306632757186890e-02,6.333997845649719238e-02,8.032169193029403687e-02,6.472424417734146118e-02,8.032169193029403687e-02,6.333997845649719238e-02,2.366306632757186890e-02,6.299080699682235718e-02,1.581945270299911499e-01,-1.528046727180480957e-01
-5.477896425873041153e-03
7.106503844261169434e-02,1.823098808526992798e-01,8.269607275724411011e-02,7.893699407577514648e-02,2.098993659019470215e-01,1.214896664023399353e-01,6.881341338157653809e-02,1.214896664023399353e-01,2.098993659019470215e-01,7.893699407577514648e-02,8.269607275724411011e-02,1.823098808526992798e-01,7.106503844261169434e-02
