-3.608438745141029358e-02,-2.066585868597030640e-01,-6.028357148170471191e-02,6.355600804090499878e-02,1.089859381318092346e-01,7.882758229970932007e-02,9.989443421363830566e-02,5.999694764614105225e-02,6.251449137926101685e-02,5.149762332439422607e-02,6.251449137926101685e-02,5.999694764614105225e-02,9.989443421363830566e-02,7.882758229970932007e-02,1.089859381318092346e-01,6.355600804090499878e-02,-6.028357148170471191e-02,-2.066585868597030640e-01,-3.608438745141029358e-02
1.561357527971267700e-01,-1.290127541869878769e-02,-1.695095598697662354e-01,-1.222192868590354919e-01,-3.744199126958847046e-02,1.274966262280941010e-02,1.216567400842905045e-02,3.886813297867774963e-02,4.371300339698791504e-02,7.065948098897933960e-02,4.371300339698791504e-02,3.886813297867774963e-02,1.216567400842905045e-02,1.274966262280941010e-02,-3.744199126958847046e-02,-1.222192868590354919e-01,-1.695095598697662354e-01,-1.290127541869878769e-02,1.561357527971267700e-01
-3.248978871852159500e-03
-6.805124878883361816e-02,7.986826449632644653e-02,1.552551239728927612e-01,1.026888787746429443e-01,7.456444203853607178e-02,6.757602840662002563e-02,1.049448475241661072e-01,1.171003431081771851e-01,7.836788892745971680e-02,4.915748164057731628e-02,7.836788892745971680e-02,1.171003431081771851e-01,1.049448475241661072e-01,6.757602840662002563e-02,7.456444203853607178e-02,1.026888787746429443e-01,1.552551239728927612e-01,7.986826449632644653e-02,-6.805124878883361816e-02
-8.994316309690475464e-02,-9.160032868385314941e-02,5.193917546421289444e-03,1.027007703669369221e-03,-4.214573651552200317e-02,-1.840989571064710617e-03,3.413084894418716431e-02,3.933040052652359009e-02,3.644281625747680664e-02,5.647863447666168213e-02,3.644281625747680664e-02,3.933040052652359009e-02,3.413084894418716431e-02,-1.840989571064710617e-03,-4.214573651552200317e-02,1.027007703669369221e-03,5.193917546421289444e-03,-9.160032868385314941e-02,-8.994316309690475464e-02
-3.769710194319486618e-03
-8.342812955379486084e-02,1.338545829057693481e-01,1.259753853082656860e-01,6.552748382091522217e-02,7.221139967441558838e-02,1.147836819291114807e-01,9.697132557630538940e-02,6.105921790003776550e-02,8.487520366907119751e-02,9.625084698200225830e-02,8.487520366907119751e-02,6.105921790003776550e-02,9.697132557630538940e-02,1.147836819291114807e-01,7.221139967441558838e-02,6.552748382091522217e-02,1.259753853082656860e-01,1.338545829057693481e-01,-8.342812955379486084e-02
-6.472303718328475952e-02,-1.124886497855186462e-01,-5.968113616108894348e-02,-1.638582907617092133e-02,-4.226363822817802429e-02,4.730097483843564987e-03,4.010404646396636963e-02,6.367478519678115845e-02,4.553369060158729553e-02,6.359531730413436890e-02,4.553369060158729553e-02,6.367478519678115845e-02,4.010404646396636963e-02,4.730097483843564987e-03,-4.226363822817802429e-02,-1.638582907617092133e-02,-5.968113616108894348e-02,-1.124886497855186462e-01,-6.472303718328475952e-02
-4.315481521189212799e-03
-7.734887301921844482e-02,1.018190905451774597e-01,1.023391187191009521e-01,5.097025260329246521e-02,6.927542388439178467e-02,1.150998100638389587e-01,1.016143262386322021e-01,5.663353204727172852e-02,8.502132445573806763e-02,9.568412601947784424e-02,8.502132445573806763e-02,5.663353204727172852e-02,1.016143262386322021e-01,1.150998100638389587e-01,6.927542388439178467e-02,5.097025260329246521e-02,1.023391187191009521e-01,1.018190905451774597e-01,-7.734887301921844482e-02
-7.271798700094223022e-02,-1.495108157396316528e-01,-8.043874055147171021e-02,2.270848024636507034e-03,-1.611332967877388000e-02,3.015536582097411156e-03,2.513073198497295380e-02,4.909971728920936584e-02,5.070218071341514587e-02,7.424419373273849487e-02,5.070218071341514587e-02,4.909971728920936584e-02,2.513073198497295380e-02,3.015536582097411156e-03,-1.611332967877388000e-02,2.270848024636507034e-03,-8.043874055147171021e-02,-1.495108157396316528e-01,-7.271798700094223022e-02
-4.885198082774877548e-03
-9.239669144153594971e-02,2.042345516383647919e-02,1.087209656834602356e-01,6.569976359605789185e-02,6.207263097167015076e-02,8.929619938135147095e-02,1.174323633313179016e-01,7.824003696441650391e-02,7.902497798204421997e-02,6.741176545619964600e-02,7.902497798204421997e-02,7.824003696441650391e-02,1.174323633313179016e-01,8.929619938135147095e-02,6.207263097167015076e-02,6.569976359605789185e-02,1.087209656834602356e-01,2.042345516383647919e-02,-9.239669144153594971e-02
-2.368907257914543152e-02,-1.964197456836700439e-01,-1.142189502716064453e-01,-1.438074465841054916e-02,-4.963060375303030014e-03,-3.494143020361661911e-03,4.647868126630783081e-02,5.838165059685707092e-02,4.721425473690032959e-02,4.971544817090034485e-02,4.721425473690032959e-02,5.838165059685707092e-02,4.647868126630783081e-02,-3.494143020361661911e-03,-4.963060375303030014e-03,-1.438074465841054916e-02,-1.142189502716064453e-01,-1.964197456836700439e-01,-2.368907257914543152e-02
-5.477896425873041153e-03
-1.083561629056930542e-01,-3.959785774350166321e-02,5.960630252957344055e-02,7.827905565500259399e-02,6.435059010982513428e-02,1.057311370968818665e-01,1.043458655476570129e-01,8.400443196296691895e-02,6.035673990845680237e-02,7.779066264629364014e-02,6.035673990845680237e-02,8.400443196296691895e-02,1.043458655476570129e-01,1.057311370968818665e-01,6.435059010982513428e-02,7.827905565500259399e-02,5.960630252957344055e-02,-3.959785774350166321e-02,-1.083561629056930542e-01
2.904695458710193634e-02,-2.261074185371398926e-01,-1.391752660274505615e-01,-2.165956050157546997e-02,1.234051492065191269e-02,-2.286968380212783813e-02,4.339414462447166443e-02,6.120588257908821106e-02,5.808904767036437988e-02,3.500632196664810181e-02,5.808904767036437988e-02,6.120588257908821106e-02,4.339414462447166443e-02,-2.286968380212783813e-02,1.234051492065191269e-02,-2.165956050157546997e-02,-1.391752660274505615e-01,-2.261074185371398926e-01,2.904695458710193634e-02
-6.092720665037631989e-03
-1.315532624721527100e-01,-1.203285232186317444e-01,3.622110188007354736e-02,1.106775775551795959e-01,9.007715433835983276e-02,9.363530576229095459e-02,9.448140114545822144e-02,7.796767354011535645e-02,6.498005241155624390e-02,7.908383756875991821e-02,6.498005241155624390e-02,7.796767354011535645e-02,9.448140114545822144e-02,9.363530576229095459e-02,9.007715433835983276e-02,1.106775775551795959e-01,3.622110188007354736e-02,-1.203285232186317444e-01,-1.315532624721527100e-01
2.350771985948085785e-02,-1.801787614822387695e-01,-1.536545455455780029e-01,-3.568979725241661072e-02,-3.095043450593948364e-02,-1.056349929422140121e-02,4.580527544021606445e-02,9.748798608779907227e-02,2.361102588474750519e-02,2.942931465804576874e-02,2.361102588474750519e-02,9.748798608779907227e-02,4.580527544021606445e-02,-1.056349929422140121e-02,-3.095043450593948364e-02,-3.568979725241661072e-02,-1.536545455455780029e-01,-1.801787614822387695e-01,2.350771985948085785e-02
-6.728903856128454208e-03
-1.148479655385017395e-01,-1.637156903743743896e-01,2.977984724566340446e-03,1.003754064440727234e-01,1.080927997827529907e-01,9.412091970443725586e-02,9.529893100261688232e-02,6.765125691890716553e-02,6.838526576757431030e-02,7.136778533458709717e-02,6.838526576757431030e-02,6.765125691890716553e-02,9.529893100261688232e-02,9.412091970443725586e-02,1.080927997827529907e-01,1.003754064440727234e-01,2.977984724566340446e-03,-1.637156903743743896e-01,-1.148479655385017395e-01
6.955689191818237305e-02,-1.714829951524734497e-01,-1.299418509006500244e-01,-5.381477624177932739e-02,-1.641623675823211670e-02,-3.523260727524757385e-02,5.602560192346572876e-02,7.816232740879058838e-02,5.442684516310691833e-02,1.887299492955207825e-02,5.442684516310691833e-02,7.816232740879058838e-02,5.602560192346572876e-02,-3.523260727524757385e-02,-1.641623675823211670e-02,-5.381477624177932739e-02,-1.299418509006500244e-01,-1.714829951524734497e-01,6.955689191818237305e-02
-7.385753560811281204e-03
-1.268732249736785889e-01,-1.866083443164825439e-01,-9.743992239236831665e-03,1.035753190517425537e-01,9.718441963195800781e-02,1.047582030296325684e-01,9.813903272151947021e-02,6.991816312074661255e-02,5.616227164864540100e-02,7.480516284704208374e-02,5.616227164864540100e-02,6.991816312074661255e-02,9.813903272151947021e-02,1.047582030296325684e-01,9.718441963195800781e-02,1.035753190517425537e-01,-9.743992239236831665e-03,-1.866083443164825439e-01,-1.268732249736785889e-01
6.710980832576751709e-02,-8.825560659170150757e-02,-1.552154421806335449e-01,-8.570495247840881348e-02,-4.157952964305877686e-02,1.941805146634578705e-02,2.832496911287307739e-02,5.187881365418434143e-02,3.821788355708122253e-02,7.252418249845504761e-02,3.821788355708122253e-02,5.187881365418434143e-02,2.832496911287307739e-02,1.941805146634578705e-02,-4.157952964305877686e-02,-8.570495247840881348e-02,-1.552154421806335449e-01,-8.825560659170150757e-02,6.710980832576751709e-02
-8.062640205025672913e-03
-6.264471262693405151e-02,-1.966040730476379395e-01,-6.308497488498687744e-02,1.050339490175247192e-01,1.035471037030220032e-01,8.730333298444747925e-02,8.979698270559310913e-02,9.093524515628814697e-02,5.254885181784629822e-02,5.684779584407806396e-02,5.254885181784629822e-02,9.093524515628814697e-02,8.979698270559310913e-02,8.730333298444747925e-02,1.035471037030220032e-01,1.050339490175247192e-01,-6.308497488498687744e-02,-1.966040730476379395e-01,-6.264471262693405151e-02
1.516598463058471680e-01,-9.020614624023437500e-02,-1.555351763963699341e-01,-1.111167743802070618e-01,-6.275715306401252747e-03,-1.116548758000135422e-02,3.724892809987068176e-02,4.038783907890319824e-02,6.787639111280441284e-02,4.727283120155334473e-02,6.787639111280441284e-02,4.038783907890319824e-02,3.724892809987068176e-02,-1.116548758000135422e-02,-6.275715306401252747e-03,-1.111167743802070618e-01,-1.555351763963699341e-01,-9.020614624023437500e-02,1.516598463058471680e-01
-8.758988231420516968e-03
