-5.679528042674064636e-02,8.002175390720367432e-02,1.290435194969177246e-01,3.739997372031211853e-02,-3.176276758313179016e-02,-7.575268298387527466e-02,-6.587151437997817993e-02,-6.612509489059448242e-02,1.730559743009507656e-04,4.483671113848686218e-02,7.259801775217056274e-02,5.183286219835281372e-02,6.923145055770874023e-02,7.338862121105194092e-02,7.767876237630844116e-02,5.203204974532127380e-02,5.597591400146484375e-02,5.431653186678886414e-02,5.597591400146484375e-02,5.203204974532127380e-02,7.767876237630844116e-02,7.338862121105194092e-02,6.923145055770874023e-02,5.183286219835281372e-02,7.259801775217056274e-02,4.483671113848686218e-02,1.730559743009507656e-04,-6.612509489059448242e-02,-6.587151437997817993e-02,-7.575268298387527466e-02,-3.176276758313179016e-02,3.739997372031211853e-02,1.290435194969177246e-01,8.002175390720367432e-02,-5.679528042674064636e-02
-9.721115976572036743e-02,-1.014562472701072693e-01,-7.431162055581808090e-03,1.062687113881111145e-01,1.003158167004585266e-01,3.644810244441032410e-02,-3.367168456315994263e-02,-5.983291566371917725e-02,-7.123459130525588989e-02,-5.873204395174980164e-02,-4.129894822835922241e-02,-1.501949504017829895e-02,-9.908343665301799774e-03,1.408977806568145752e-02,3.598516806960105896e-02,4.533758014440536499e-02,3.194491937756538391e-02,4.007418826222419739e-02,3.194491937756538391e-02,4.533758014440536499e-02,3.598516806960105896e-02,1.408977806568145752e-02,-9.908343665301799774e-03,-1.501949504017829895e-02,-4.129894822835922241e-02,-5.873204395174980164e-02,-7.123459130525588989e-02,-5.983291566371917725e-02,-3.367168456315994263e-02,3.644810244441032410e-02,1.003158167004585266e-01,1.062687113881111145e-01,-7.431162055581808090e-03,-1.014562472701072693e-01,-9.721115976572036743e-02
-6.965145934373140335e-03
-2.866511978209018707e-02,-8.074204623699188232e-02,-9.821073710918426514e-02,-5.780920386314392090e-02,-3.640183433890342712e-02,-1.132479030638933182e-02,1.072823721915483475e-02,5.109139531850814819e-02,6.120817363262176514e-02,6.911503523588180542e-02,5.704401060938835144e-02,7.206959277391433716e-02,6.793329119682312012e-02,6.993366777896881104e-02,5.506164208054542542e-02,5.941973999142646790e-02,4.898574948310852051e-02,5.637850984930992126e-02,4.898574948310852051e-02,5.941973999142646790e-02,5.506164208054542542e-02,6.993366777896881104e-02,6.793329119682312012e-02,7.206959277391433716e-02,5.704401060938835144e-02,6.911503523588180542e-02,6.120817363262176514e-02,5.109139531850814819e-02,1.072823721915483475e-02,-1.132479030638933182e-02,-3.640183433890342712e-02,-5.780920386314392090e-02,-9.821073710918426514e-02,-8.074204623699188232e-02,-2.866511978209018707e-02
6.412117928266525269e-02,2.074797451496124268e-02,-3.016530349850654602e-02,-4.920262470841407776e-02,-5.316891148686408997e-02,-6.445779651403427124e-02,-6.625735759735107422e-02,-5.433969572186470032e-02,-3.811585530638694763e-02,-2.068002708256244659e-02,5.237921723164618015e-04,7.871927693486213684e-03,1.078672893345355988e-02,2.140142582356929779e-02,5.201689526438713074e-02,6.617937237024307251e-02,3.814215213060379028e-02,3.187820315361022949e-02,3.814215213060379028e-02,6.617937237024307251e-02,5.201689526438713074e-02,2.140142582356929779e-02,1.078672893345355988e-02,7.871927693486213684e-03,5.237921723164618015e-04,-2.068002708256244659e-02,-3.811585530638694763e-02,-5.433969572186470032e-02,-6.625735759735107422e-02,-6.445779651403427124e-02,-5.316891148686408997e-02,-4.920262470841407776e-02,-3.016530349850654602e-02,2.074797451496124268e-02,6.412117928266525269e-02
-9.151756763458251953e-03
4.642824456095695496e-02,-5.633820593357086182e-02,-8.852033317089080811e-02,-7.813998311758041382e-02,-4.254063591361045837e-02,-4.081617295742034912e-02,-1.113797817379236221e-02,2.478252537548542023e-02,5.594329535961151123e-02,5.321258306503295898e-02,7.593324780464172363e-02,7.971051335334777832e-02,8.098828792572021484e-02,5.612482130527496338e-02,5.910015478730201721e-02,4.762379452586174011e-02,6.688854843378067017e-02,5.927586182951927185e-02,6.688854843378067017e-02,4.762379452586174011e-02,5.910015478730201721e-02,5.612482130527496338e-02,8.098828792572021484e-02,7.971051335334777832e-02,7.593324780464172363e-02,5.321258306503295898e-02,5.594329535961151123e-02,2.478252537548542023e-02,-1.113797817379236221e-02,-4.081617295742034912e-02,-4.254063591361045837e-02,-7.813998311758041382e-02,-8.852033317089080811e-02,-5.633820593357086182e-02,4.642824456095695496e-02
6.686941534280776978e-02,8.278173208236694336e-02,3.207698091864585876e-02,-1.495175901800394058e-02,-3.992992267012596130e-02,-4.446834698319435120e-02,-6.740248203277587891e-02,-6.917364895343780518e-02,-6.322085857391357422e-02,-3.799097985029220581e-02,-1.988886483013629913e-02,1.086562778800725937e-02,3.329495713114738464e-02,3.509589657187461853e-02,2.238569781184196472e-02,2.689101733267307281e-02,6.458599120378494263e-02,7.983461022377014160e-02,6.458599120378494263e-02,2.689101733267307281e-02,2.238569781184196472e-02,3.509589657187461853e-02,3.329495713114738464e-02,1.086562778800725937e-02,-1.988886483013629913e-02,-3.799097985029220581e-02,-6.322085857391357422e-02,-6.917364895343780518e-02,-6.740248203277587891e-02,-4.446834698319435120e-02,-3.992992267012596130e-02,-1.495175901800394058e-02,3.207698091864585876e-02,8.278173208236694336e-02,6.686941534280776978e-02
-1.152529194951057434e-02
7.983323931694030762e-02,3.115075826644897461e-02,-3.977248072624206543e-02,-7.065013796091079712e-02,-6.738094240427017212e-02,-5.084417015314102173e-02,-3.313519433140754700e-02,-2.422876190394163132e-03,3.201450780034065247e-02,6.111286580562591553e-02,7.429444044828414917e-02,7.504896819591522217e-02,6.692593544721603394e-02,5.951287597417831421e-02,6.362909823656082153e-02,6.139618903398513794e-02,5.985840782523155212e-02,5.831087008118629456e-02,5.985840782523155212e-02,6.139618903398513794e-02,6.362909823656082153e-02,5.951287597417831421e-02,6.692593544721603394e-02,7.504896819591522217e-02,7.429444044828414917e-02,6.111286580562591553e-02,3.201450780034065247e-02,-2.422876190394163132e-03,-3.313519433140754700e-02,-5.084417015314102173e-02,-6.738094240427017212e-02,-7.065013796091079712e-02,-3.977248072624206543e-02,3.115075826644897461e-02,7.983323931694030762e-02
